CANALE;DATA;Npdv;VALORE;QUANTITA;;;;
1;01/01/2005;14;4404236;2777128;;;;
1;01/02/2005;14;4697415;2960729;;;;
1;01/03/2005;14;5372388;3097115;;;;
1;01/04/2005;14;5170505;3112251;;;;
1;01/05/2005;14;4996183;3196198;;;;
1;01/06/2005;14;4692745;3388651;;;;
1;01/07/2005;14;4760328;3498191;;;;
1;01/08/2005;14;4712146;3403234;;;;
1;01/09/2005;14;4971791;3477396;;;;
1;01/10/2005;14;5247449;3593359;;;;
1;01/11/2005;15;5292775;3498030;;;;
1;01/12/2005;15;5964548;3644519;;;;
1;01/01/2006;15;4983038;3362054;;;;
1;01/02/2006;15;4946677;3336940;;;;
1;01/03/2006;16;5742846;3793665;;;;
1;01/04/2006;17;6605030;4229989;;;;
1;01/05/2006;21;6980861;4688049;;;;
1;01/06/2006;25;7897940;5405780;;;;
1;01/07/2006;26;9147078;6565887;;;;
1;01/08/2006;26;8952137;5820182;;;;
1;01/09/2006;26;9176998;6075024;;;;
1;01/10/2006;26;9111200;5988270;;;;
1;01/11/2006;26;8548684;5487214;;;;
1;01/12/2006;27;10252806;6074616;;;;
1;01/01/2007;27;8669385;5753148;;;;
1;01/02/2007;27;8309407;5557118;;;;
1;01/03/2007;28;10247754;6651395;;;;
1;01/04/2007;28;9501001;6070986;;;;
1;01/05/2007;28;9899110;6683188;;;;
1;01/06/2007;28;9961590;6629692;;;;
1;01/07/2007;29;9912973;6951440;;;;
1;01/08/2007;29;10244845;6744628;;;;
1;01/09/2007;29;10093368;6824621;;;;
1;01/10/2007;29;10848505;6942087;;;;
1;01/11/2007;29;9825888;6136298;;;;
1;01/12/2007;29;11440999;6602411;;;;
1;01/01/2008;29;9694426;6358235;;;;
1;01/02/2008;29;10352116;6813137;;;;
1;01/03/2008;29;11350169;6850438;;;;
1;01/04/2008;29;10779973;6715208;;;;
1;01/05/2008;29;11305178;7117939;;;;
1;01/06/2008;29;10201958;6658466;;;;
1;01/07/2008;29;10827286;7095912;;;;
1;01/08/2008;29;10864170;7236656;;;;
1;01/09/2008;29;10649086;6834659;;;;
1;01/10/2008;29;11055624;6774920;;;;
1;01/11/2008;29;10396716;6288693;;;;
1;01/12/2008;29;14030147;8156313;;;;
1;01/01/2009;29;11346503;6988285;;;;
1;01/02/2009;29;10798948;6657354;;;;
1;01/03/2009;29;11967408;7497765;;;;
1;01/04/2009;29;12571123;7293171;;;;
1;01/05/2009;30;12150441;7859783;;;;
1;01/06/2009;30;12009381;7589592;;;;
1;01/07/2009;30;12100115;7731994;;;;
1;01/08/2009;30;11882050;7738602;;;;
1;01/09/2009;30;11680653;7398745;;;;
1;01/10/2009;30;12760934;7696845;;;;
1;01/11/2009;30;11559375;6767256;;;;
1;01/12/2009;30;14192085;7767169;;;;
1;01/01/2010;31;11608053;6935643;;;;
1;01/02/2010;31;10863713;6581954;;;;
1;01/03/2010;31;12935437;7699652;;;;
1;01/04/2010;31;12690217;7579741;;;;
1;01/05/2010;31;12179968;7472792;;;;
1;01/06/2010;31;12462941;7634944;;;;
1;01/07/2010;31;13311962;8489927;;;;
1;01/08/2010;31;12644279;7863509;;;;
1;01/09/2010;31;12372341;7467739;;;;
1;01/10/2010;31;13250369;7884207;;;;
1;01/11/2010;31;12110443;7007211;;;;
1;01/12/2010;31;14631861;8077313;;;;
1;01/01/2011;31;11654956;6915679;;;;
1;01/02/2011;31;11188258;6559690;;;;
1;01/03/2011;31;12642406;7214971;;;;
1;01/04/2011;31;13919240;7829083;;;;
1;01/05/2011;31;12678073;7628204;;;;
1;01/06/2011;31;12121680;7247321;;;;
1;01/07/2011;31;12739789;7919791;;;;
1;01/08/2011;31;12737564;7956393;;;;
1;01/09/2011;31;12565366;7608590;;;;
1;01/10/2011;31;13053420;7668189;;;;
1;01/11/2011;31;12236337;6926644;;;;
1;01/12/2011;31;14768685;7999130;;;;
1;01/01/2012;31;12601925;7590627;;;;
